,link,title,name,price,category,sex,Embedding,Features
0,https://www.myntra.com/shirts/roadster/roadster-men-black--grey-checked-pure-cotton-casual-shirt/1376577/buy,Roadster,Men Black &amp; Grey Checked Pure Cotton Casual Shirt,524,topwear,Men,[0.00791379 0.05071101 0.00089368 ... 0.00022433 0.00336085 0.01913867],"[10.920598   12.749319    1.5466465  20.69932     5.9366236   4.0269575
 -0.5311529   5.4177523  -3.0793946   3.7535505   0.13685691 -3.5866132
 -1.0856243   3.643316    2.5618966   0.9094448  -2.3865962  -0.25409585
 -0.36408937  4.6937284   0.46553093  2.2609074   3.7293396   3.2671008
 -3.5701044   3.3990417   1.3063405   3.9979439   3.1606445  -0.950742
  4.720365    0.5325314   0.08484602  1.7210244   0.4790841   0.12916115
  0.40189463  0.41091412  5.342762   -0.38328457 -4.5472674   0.44890088
  3.0073586  -4.1950045   1.0290235   1.6986895   3.20649     2.1844556
 -1.6412363  -1.7788182   1.1241227   1.4573727   1.3885357  -0.9266532
 -1.2036537   1.4452084  -1.5864627  -1.0619841   1.8798168  -1.5105187
 -3.0617177   2.6445649   1.2397012  -2.7316852  -3.2334492  -2.5861242
 -0.43805593 -2.3813848   2.0721874   0.65906096 -1.2468312  -4.6712155
 -5.7227345  -1.3374078   0.19988012 -1.4036217   2.6044645   0.31040573
  1.8789637   1.257935    1.5439432   1.6335025  -0.59705055  0.626063
 -0.04007349 -0.6168711  -0.856138   -1.7050772   1.7618239   4.0048633
 -1.411191    0.3080645   0.46395212 -1.3752683  -0.1749897   0.49600717
 -0.9252494  -1.9370737  -3.2877657   0.04293457]"
1,https://www.myntra.com/tshirts/herenow/herenow-men-black--grey-striped-cotton-pure-cotton-t-shirt/9376057/buy,HERE&amp;NOW,HERENOW Men Black  Grey Striped Cotton Pure Cotton T-shirt,319,topwear,Men,[0.00375183 0.0262051  0.00353889 ... 0.02014538 0.         0.03103211],"[10.354109    6.938687   -1.7618594   9.33507     2.6660342   0.58287245
 -1.8105385   2.4835975  -2.5080705   6.0018435   1.549548   -8.316284
  4.832786   -0.81980884  5.663146   -9.017775   -1.556034    1.3963126
 -0.87329155  0.86769855  8.609513    2.1071553  -3.6405964   6.2296934
 -1.5172359  -4.5392895  -3.6391335  -1.567462   -0.63244754  1.3403723
  1.9348621  -1.555826    4.1520658  -3.7925901  -4.326378   -1.5061088
  0.2381326   0.67564243  0.64341354 -2.3805454   0.5363089  -1.6950524
  6.777663   -0.91040134 10.251437    4.867231    0.38357347 -2.0033948
 -0.73493016  3.5585003  -0.01325649  0.9376953   3.53578     2.6161196
  2.8708036  -0.04626326  1.968945    2.027197    2.6162434  -1.0395398
  0.7654836  -1.9529222   4.372254    2.0221927  -3.6601021   1.0161555
 -3.4153824   4.2633862   0.8262471  -1.4008222   1.2701728   5.6343374
  1.5623568  -3.1422815  -0.7951374   0.7714142  -1.5750554  -4.2944283
 -2.176135   -3.0430765   2.752889    1.0959637  -1.1241201  -0.53847003
 -0.8888139  -2.1501665   2.9127736  -0.16416052  3.0189762   1.0926584
 -3.4895406   0.45207313 -2.2844176  -0.19456795  2.5767572  -2.6893182
  5.398153   -1.5274456  -0.41550475 -2.9145668 ]"
2,https://www.myntra.com/kurtas/anouk/anouk-men-mustard-yellow-geometric-printed-kurta/17593302/buy,Anouk,Men Mustard Yellow Geometric Printed Kurta,549,topwear,Men,[0.00466682 0.01449114 0.         ... 0.0182147  0.03561859 0.00803032],"[ 1.3051193e+01  1.8453599e+00  4.5515060e+00  1.3910405e+01
 -4.0681348e+00 -4.2193675e+00  1.3291364e+00 -2.2082372e+00
  4.9416976e+00  6.5031546e-01  2.8233285e+00  3.9808717e+00
  8.3504891e-01 -6.4022765e+00 -2.7833483e+00  3.0814040e+00
 -2.5846291e+00  3.3659825e+00  3.9186721e+00  8.9170641e-01
 -4.9471955e+00 -2.1719272e+00  1.1526496e+00  1.3573476e+01
  6.5256953e-01  3.3796873e+00  5.1503639e+00 -1.2495246e+00
 -2.4628587e+00  1.1208586e+00  4.5093748e-01 -2.7359521e+00
 -2.5882654e+00 -7.3910980e+00 -3.4645662e+00 -2.9634891e+00
 -1.3135536e+00 -2.6856723e+00 -4.4362531e+00 -1.0148266e-01
  4.2779722e+00  1.9453399e-01  9.9468839e-01 -1.9083331e+00
  2.3182151e+00 -1.3255054e-01  9.6656907e-01  1.7017335e+00
 -1.9343123e+00 -1.5678163e+00 -3.0975475e+00 -9.3052292e-01
  2.4377222e+00 -3.2136589e-03  3.1842136e-01  5.0207849e+00
 -1.1919133e-01 -2.3460162e+00 -4.5250196e+00  1.8486919e+00
 -3.2485390e+00  3.9299464e+00 -2.2356858e+00  2.2135012e+00
 -4.0166011e+00 -2.3191955e+00  2.5269599e+00  4.9956539e-01
  4.5135579e+00  1.3926578e+00 -2.3322349e+00  7.8014421e-01
  2.6421711e+00  1.6474292e+00  2.3175745e+00  3.2332444e-01
 -2.5439200e+00 -2.1538491e+00 -2.1640186e+00 -1.1562576e+00
 -3.8671127e-01  9.1506094e-02 -2.6897686e+00  1.2779794e+00
  1.5640073e+00 -1.4517400e+00  1.0243601e+00  1.2240286e-01
 -2.5947285e+00  1.5692974e+00  7.8293681e-02  2.1499367e-01
  2.6644597e+00  2.1142902e+00  1.2536215e+00 -2.1856930e+00
 -2.1610909e+00 -1.5985234e+00 -6.5119874e-01 -1.6952787e-01]"
3,https://www.myntra.com/tops/sassafras/sassafras-brown--red-geometric-printed-georgette-wrap-crop-top/13842966/buy,SASSAFRAS,Sassafras Brown &amp; Red Geometric Printed Georgette Wrap Crop Top,779,topwear,N.A.,[0.         0.0132295  0.00650653 ... 0.02236143 0.01334881 0.01942542],"[12.791163    2.672593    0.442373   14.397293   -0.12748459 -6.8023505
  0.52067715 -4.424191    8.877539   -2.0023825   4.0906005   1.7937999
  1.199549    2.804153   -5.15807    -4.161864    1.8771274   6.4008393
 -3.9595294   2.621689   -4.572941    7.7431192  -2.2959905  -5.443468
  0.93200076  0.35580465  0.94964945  1.0474614  -6.448031   -3.406306
 -1.0367807   3.4543414  -6.455984    0.3566459   0.265578    3.455092
 -0.69963646  0.3830905   0.29855108  0.79510355  6.62421     2.613045
  2.0385303  -1.8129405  -0.9712843  -0.65475476  2.7563398  -3.1841068
  3.7977114   2.5531392   1.5508138  -2.3228366  -0.21133852 -0.56034076
 -0.96006525 -1.0208815  -3.7735      0.7008889  -3.543138    2.6076372
 -3.5293527   2.186418   -0.10362428 -3.590079    1.5630608   0.10390395
 -2.7323825  -0.76268816  3.2987258  -3.1392913  -0.92089015 -3.0743644
  1.980068    1.6087154   0.86094594 -0.6910471   0.42445293 -0.8993324
 -2.0221      3.6440713  -0.04370785  0.09910719  0.72940546 -2.7378426
  4.219929   -3.2560127  -0.23816721  0.9954914  -1.6622185  -5.924018
 -0.84323823  1.5229032  -1.1407441  -2.7275693  -2.0194795  -1.0112605
  3.9303703  -0.32524195  1.3537306   2.2920265 ]"
4,https://www.myntra.com/tops/roadster/roadster-rust-red-round-neck-boxy-crop-top/11697292/buy,Roadster,Rust Red Round Neck Boxy Crop Top,199,topwear,N.A.,[0.02306141 0.0288708  0.00874583 ... 0.01325346 0.00405514 0.00854587],"[10.444157    9.826752   -0.04317068 11.126556    6.5660214   8.1677265
 -3.389659    2.8439827  -5.7674913   0.889907   -2.0040798  -6.251732
  4.0362306   3.2117767   3.7049706  -3.503961   -2.9362252   7.3521624
  1.106887    1.2618573   2.7934895   3.3009107  -3.296376    3.533802
  1.1855289  -4.8377175   0.30268225  1.1281753  -3.1849933  -0.33923775
  0.12225887 -1.704487    1.7563289  -4.0518923  -2.1639454  -4.44298
  0.16400273  4.0358696   0.08431408 -3.6961713   0.5387188  -2.4619308
  4.8112545  -1.6888007   3.432924   -2.669858   -3.3337188  -3.371004
 -1.5982193   5.588767   -6.7006807  -1.1157292   3.0467365  -2.0082903
  4.8790283  -1.1658431  -1.1682546   2.4272642   1.3469073   6.1953483
  4.1072807  -3.837302   -3.8666246  -0.40128765  5.8732295   1.5034854
 -2.2282867   0.04309088 -0.56791085  3.1119676   4.173214    1.2887073
  3.359859    0.8850609  -1.2049302  -1.9906116   0.42693177 -0.50771266
 -0.458156    0.86386585  1.1705115   1.7184764   0.94890505 -0.96405315
  1.1439402   3.0473592   4.5609136  -0.8331282  -1.4105917   0.40100116
 -1.3574381  -0.3849373   0.5221454  -0.2422038  -4.1267695   2.1912203
 -1.582673    1.022469   -2.6731942   1.8622029 ]"
5,https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-men-olive-green-graphic-printed-pure-cotton-oversized-t-shirt/17605686/buy,Difference of Opinion,Men Olive Green Graphic Printed Pure Cotton Oversized T-Shirt,584,topwear,Men,[0.         0.07681217 0.00750436 ... 0.02108146 0.01005267 0.04056729],"[ 10.392663    -1.239117    -0.19587785  15.981199     0.19967565
  -3.706726     0.81739986   0.14767838  -1.2868009    6.0502925
   6.7494254    3.1884475   -0.5938702   -1.3167895    7.9234524
  -3.5702817   -3.3752458  -10.395373    -2.2392561   -5.6112404
  -0.17443144   3.3573964    7.2321935    0.46818987   4.7234573
  -9.024199    -0.13482165   1.3906521   -0.5339613   -6.323028
   2.2773635    2.3497603    2.2340775   -2.3923244   -1.2436963
  -1.8743031   -0.86302704   2.0417025   -1.3066823   -2.3027663
  11.355426    -5.47762     -1.6058549   -3.3282046   -1.4202961
  -1.9505574    4.204663    -4.044168    -3.0410883   -1.9704672
  -2.3016665   -0.8654992    2.331707    -3.8846016    0.6377802
   3.1909251    2.936301     4.034879     1.3440167   -4.0628633
   1.9598567    1.3959758   -2.92274     -1.2634599   -0.5168486
   3.8978784   -1.5958488   -1.0297183    3.7783804   -3.2539964
  -5.830802     2.8654158   -3.5422962   -2.3022022   -1.2417233
   1.3989012    1.7636836    0.35597152  -0.01674709  -0.8053347
  -5.4968963   -1.1575264   -3.7412076   -3.5834668   -1.6767788
   3.9007995    1.4450277    3.1300874    1.5651919   -0.94694114
  -1.5684261    3.735541    -0.45610988  -2.436437    -1.6416767
   1.4376233    2.8161187    1.3597322    2.010744    -3.3140116 ]"
6,https://www.myntra.com/shirts/highlander/highlander-men-white--blue-slim-fit-printed-casual-shirt/11964920/buy,HIGHLANDER,Men White &amp; Blue Slim Fit Printed Casual Shirt,524,topwear,Men,[0.00559663 0.04259145 0.00638158 ... 0.00844429 0.00068053 0.0398504 ],"[ 2.2122248e+01  8.0852680e+00  1.5125098e+00  9.9947348e+00
 -1.7209209e+00 -3.3181429e+00 -2.4347062e+00  6.6731060e-01
 -3.8364613e+00 -4.9100404e+00 -2.5029504e+00  2.5820258e+00
 -1.2025461e+00  3.1119306e+00 -2.1842928e+00 -3.3548243e+00
  3.0222445e+00 -5.0078282e+00 -3.8071332e+00 -5.2257996e+00
 -1.7619898e+00 -8.3961213e-01 -1.4393806e+00 -2.3360968e+00
 -6.1013532e+00 -8.5085738e-01  4.6593690e-01 -2.8994018e-01
  1.5627536e+00 -1.8093543e+00  8.9579505e-01 -4.5063126e-01
  3.9351826e+00  1.1148446e+00  3.3073955e+00 -6.0576093e-01
  2.4349372e+00  4.9458418e+00 -1.3215379e-01  1.0934501e+00
 -1.9463561e+00  4.1429667e+00  5.0325227e+00 -1.0735333e+00
 -3.2970032e-01  3.7002597e+00  1.4258027e+00  3.7746208e+00
  1.2199206e+00 -2.2994108e-01  8.1112266e-01  2.1655047e-01
  2.0927155e+00  1.7112676e+00 -2.9682180e-01  6.6776186e-01
 -5.1081526e-01 -2.3029158e+00 -1.1146042e+00  1.0843978e+00
  4.6373418e-01 -1.6076813e+00  8.2461667e-01  1.9755007e+00
  1.1949195e+00  3.2477813e+00 -2.4519558e+00 -1.8600180e+00
 -1.6304159e+00 -1.9791574e+00 -2.0071359e+00 -7.6073408e-04
  3.0454321e+00 -1.1875162e+00  2.1572556e+00  1.3453702e+00
 -1.1130221e+00 -1.9155845e-01  1.6464062e+00  2.5967035e-01
 -4.3757883e-01  3.0865889e+00  5.9483166e+00 -6.0669577e-01
  1.6549482e+00 -3.1442821e-02 -4.3186039e-01  2.2104104e+00
  1.9702110e+00 -1.5989272e-01 -2.6053512e-01 -3.1607935e+00
  4.4122082e-01  3.3207870e-01  1.6463861e+00 -4.5823723e-01
  2.0487680e+00  4.5669538e-01  3.4630647e+00  1.4145899e+00]"
7,https://www.myntra.com/shirts/wrogn/wrogn-men-blue--white-slim-fit-striped-casual-shirt/6832751/buy,WROGN,Men Blue &amp; White Slim Fit Striped Casual Shirt,1429,topwear,Men,[0.00732003 0.02351281 0.         ... 0.01838152 0.00156018 0.03943529],"[ 1.0263349e+01  1.1243410e+01 -6.8821192e-01  1.7768486e+01
  3.3945229e+00  4.7355189e+00 -2.8731496e+00  1.7390256e+00
 -7.9871111e+00  5.2800622e+00  1.8894053e-01 -4.4180069e+00
  5.5460542e-01  8.9316025e-02  3.5195074e+00  3.0599666e+00
 -2.6313374e+00  1.3576335e+00  2.0154068e+00  2.1459539e+00
  3.4637208e+00  4.2600303e+00 -2.7014101e+00  4.1499233e+00
  5.1544374e-01  3.1304722e+00 -7.1954906e-01  1.3310069e+00
  4.3501496e+00  2.8099933e+00  3.4575850e-01 -7.2759938e-01
  2.8580880e+00 -1.3738019e+00 -3.2863808e+00  1.1102439e+00
 -9.0162849e-01  8.7746382e-02  4.1897211e+00  4.7056407e-01
 -1.6810591e+00 -1.0339303e+00 -5.0242531e-01 -2.1936625e-01
  3.4569867e+00  3.9622416e+00  1.2749302e+00  3.3788776e+00
  1.8462776e+00 -1.1795084e+00  4.1352158e+00  2.3382837e-01
  3.0762582e+00 -3.4265139e+00 -2.4886065e+00 -4.6577568e+00
 -5.2201314e+00 -2.4216723e+00  8.2014680e-01 -1.1070466e+00
 -3.9844686e-01  2.8810196e+00  2.4505191e-01 -8.7074563e-02
 -3.4630418e+00  3.6117177e+00 -2.5364261e+00 -5.5924911e+00
  1.9478972e+00 -2.2408122e-01 -5.1670104e-01 -1.9183596e+00
 -3.0576110e+00 -1.9054532e+00 -1.8177685e+00 -2.8900590e+00
 -5.9083533e-01  6.2626302e-01 -1.9569227e-02  6.8513352e-01
  9.9011946e-01 -1.4921703e+00 -4.8137970e+00  4.3684274e-01
  2.1709719e+00  4.7572494e+00 -2.3444846e+00  5.1040828e-01
 -6.6917092e-03  1.2965515e+00  9.1272670e-01  9.9224612e-02
  2.9256926e+00 -5.5661738e-01 -3.6488872e+00 -3.7091281e+00
 -7.4125576e-01 -2.6940565e+00  3.3652747e+00  1.0351596e+00]"
8,https://www.myntra.com/tshirts/roadster/roadster-men-grey-melange-longline-t-shirt-with-raw-edges/1824340/buy,Roadster,Men Grey Melange Longline T-shirt with Raw Edges,319,topwear,Men,[0.         0.04458725 0.00051722 ... 0.01315989 0.00416305 0.01944048],"[ 2.2453417e+01  5.2482824e+00  2.8625185e+00  7.6523881e+00
  3.1317556e+00  4.4341555e+00  4.2099624e+00  7.0990696e+00
 -7.6913791e+00  4.2118201e+00 -5.4214277e+00  4.2739229e+00
 -3.3625991e+00  1.5177946e+00 -1.0327147e-01 -2.1707370e+00
  3.1766665e+00 -5.4246259e+00  1.3035195e-01 -5.7921758e+00
 -6.0579820e+00 -1.6200168e+00 -2.4746468e+00  2.6573684e+00
 -1.6026587e+00  2.9511325e+00  7.3516935e-01  5.6353903e-01
  5.9613743e+00  2.3238070e+00 -2.0805604e+00 -6.1514097e-01
  4.5179410e+00  1.7749383e+00  7.9364669e-01  5.3371601e+00
  4.2726922e-01 -1.5807123e-01 -7.7891278e-01  1.5050914e+00
 -4.9023814e+00  1.4459170e+00 -1.4554590e+00 -1.9009259e+00
 -4.2126042e-01 -4.5495329e+00 -2.1426737e-02 -3.0691910e+00
 -3.6733979e-01 -2.7972064e+00 -2.0914371e+00 -5.6543550e+00
  3.5704628e-01 -2.7305186e-02  1.6832500e+00 -1.7604496e+00
  8.4398699e-01  1.0917588e+00  5.5917871e-01 -1.4207588e-01
 -1.9664901e-01 -3.7693288e+00 -2.9569628e+00  5.2700233e-01
  2.0041103e+00  6.3608351e+00 -1.9600844e-01 -9.0115458e-02
  7.7232885e-01  1.5344324e+00 -1.1728133e+00 -4.7218239e-01
 -1.3479257e+00  1.9996665e+00  8.1902176e-01  2.6880829e+00
  2.4033847e+00 -1.0072433e+00 -3.5397625e-01  2.1838877e+00
  8.3109224e-01  4.0786278e-01  1.2690547e+00 -9.1212523e-01
 -4.7464399e+00  2.6743659e-01  1.3165678e+00 -8.9406681e-01
 -7.7417666e-01 -5.5029321e-01 -8.8418794e-01 -4.1712311e-01
 -1.4991375e+00 -1.3850588e+00  3.0906820e+00  9.7343397e-01
  3.1275244e+00 -3.6404297e-02 -9.2266583e-01  1.5630944e+00]"
9,https://www.myntra.com/tshirts/sassafras/sassafras-women-black-ribbed-t-shirt/12221910/buy,SASSAFRAS,Women Black Ribbed T-shirt,485,topwear,Women,[0.         0.02870546 0.         ... 0.01944413 0.0045601  0.00918097],"[17.86036     1.0248123   1.0022587   7.775777   -3.4836652  -7.021676
 -4.7643685   0.09042226  5.493642   -4.042899    1.171107   -0.16113329
 -0.8374807  -3.9168246   0.3403102  -8.678503   -0.38264573 -3.8974428
 -2.0581896   8.687404   -1.310375   -1.847052   -5.725734    1.8338437
  4.041642   -2.845222    3.4871755   3.4931047  -0.1487277   2.8996205
 -6.7920413   2.087979   -0.55248183  0.75295657  2.8226616   0.2686588
  2.7223556  -1.6764593   0.33120346  0.60130435  1.44275    -2.5809186
  0.8222506  -0.09733997 -1.9522939  -0.5360646   0.3173864  -4.1615195
  1.291543    4.443405    1.2893742   1.7033778   3.0947616   1.3723218
  0.909919   -1.8380775  -1.9551167  -1.7990334  -1.2429516  -2.7844658
 -1.1310349  -5.305312   -1.8377407  -4.1519322  -1.1981794  -0.7534164
  3.9686866   0.06536382 -1.2504404   0.5714543  -1.0208986   2.8951118
 -0.4336903   0.8150517  -1.662356    1.4434584  -0.6362739  -1.9843181
 -0.6934247  -1.5067812  -1.4499503  -0.4714434   0.04535103  0.13280153
 -2.052727   -4.2646575  -2.2642145  -0.04610862  1.0412039   3.2544386
  1.841833   -0.62434095 -0.62504494  1.6128078   0.3744861  -1.0144935
  3.833999    0.23331848 -1.6727232  -0.956869  ]"
