,link,title,name,price,category,sex
0,https://www.myntra.com/shirts/roadster/roadster-men-black--grey-checked-pure-cotton-casual-shirt/1376577/buy,Roadster,Men Black &amp; Grey Checked Pure Cotton Casual Shirt,629,topwear,Men
1,https://www.myntra.com/sweatshirts/highlander/highlander-men-blue-hooded-sweatshirt/16680940/buy,HIGHLANDER,Men Blue Hooded Sweatshirt,671,topwear,Men
2,https://www.myntra.com/tshirts/wrogn-active/wrogn-active-men-black-solid-round-neck-t-shirt/11551874/buy,WROGN ACTIVE,Men Black Solid Round Neck T-shirt,494,topwear,Men
3,https://www.myntra.com/shirts/roadster/roadster-men-blue-faded-denim-sustainable-shirt/8894777/buy,Roadster,Men Blue Faded Denim Sustainable Shirt,899,topwear,Men
4,https://www.myntra.com/shirts/wrogn/wrogn-men-blue-slim-fit-faded-casual-shirt/6832694/buy,WROGN,Men Blue Slim Fit Faded Casual Shirt,1539,topwear,Men
5,https://www.myntra.com/tshirts/roadster/roadster-women-lavender-v-neck-gathered-cotton-pure-cotton-t-shirt/11690896/buy,Roadster,Women Lavender V-Neck Gathered Cotton Pure Cotton T-shirt,249,topwear,Women
6,https://www.myntra.com/shirts/invictus/invictus-men-easy-care-maroon-formal-shirt/13765750/buy,INVICTUS,Men Easy Care Maroon Formal Shirt,598,topwear,Men
7,https://www.myntra.com/shirts/sztori/sztori-men-plus-size-navy-blue--red-tartan-checked-hooded-pure-cotton-casual-shirt/17599942/buy,Sztori,Men Plus Size Navy Blue &amp; Red Tartan Checked Hooded Pure Cotton Casual Shirt,1871,topwear,Men
8,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-white--blue-brand-logo-printed-polo-collar-slim-fit-t-shirt/19111114/buy,Calvin Klein Jeans,Men White &amp; Blue Brand Logo Printed Polo Collar Slim Fit T-shirt,4139,topwear,Men
9,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-blue-slim-fit-solid-chambray-casual-shirt/4450306/buy,Mast &amp; Harbour,Men Blue Slim Fit Solid Chambray Casual Shirt,1143,topwear,Men
10,https://www.myntra.com/shirts/the-bear-house/the-bear-house-men-maroon--navy-blue-slim-fit-checked-flannel-casual-shirt/12853670/buy,THE BEAR HOUSE,Men Maroon &amp; Navy Blue Slim Fit Checked Flannel Casual Shirt,1247,topwear,Men
11,https://www.myntra.com/shirts/english-navy/english-navy-men-white-slim-fit-formal-shirt/7234486/buy,English Navy,Men White Slim Fit Formal Shirt,549,topwear,Men
12,https://www.myntra.com/tops/style-quotient/style-quotient-multicoloured-abstract-printed-top-with-flared-sleeves/13775716/buy,Style Quotient,Multicoloured Abstract Printed Top With Flared Sleeves,597,topwear,N.A.
13,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-black--white-checked-pure-cotton-casual-shirt/13000212/buy,The Indian Garage Co,Men Black &amp; White Checked Pure Cotton Casual Shirt,699,topwear,Men
14,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-grey-solid-slim-fit-cotton-casual-shirt/14184576/buy,Dennis Lingo,Men Grey Solid Slim Fit Cotton Casual Shirt,699,topwear,Men
15,https://www.myntra.com/shirts/invictus/invictus-men-easy-care-black-formal-shirt/13765742/buy,INVICTUS,Men Easy Care Black Formal Shirt,598,topwear,Men
16,https://www.myntra.com/shirts/cantabil/cantabil-men-navy-blue-printed-casual-shirt/19735086/buy,Cantabil,Men Navy Blue Printed Casual Shirt,2499,topwear,Men
17,https://www.myntra.com/tshirts/puma/puma-men-white-ess-logo-printed-round-neck-pure-cotton-t-shirt/13502726/buy,Puma,Men White ESS Logo Printed Round Neck Pure Cotton T-shirt,934,topwear,Men
18,https://www.myntra.com/kurtas/anouk/anouk-women-white--blue-tie-n-dye-v-neck-long-sleeves-pure-cotton-kurta/17096388/buy,Anouk,Women White &amp; Blue Tie n Dye V Neck Long Sleeves Pure Cotton Kurta,799,topwear,Women
19,https://www.myntra.com/shirts/atun/a-t-u-n-boys-yellow-classic-striped-casual-shirt/19662810/buy,A.T.U.N.,A T U N Boys Yellow Classic Striped Casual Shirt,681,topwear,N.A.
20,https://www.myntra.com/shirts/wrogn/wrogn-men-beige-slim-fit-solid-casual-shirt/11361266/buy,WROGN,Men Beige Slim Fit Solid Casual Shirt,1494,topwear,Men
21,https://www.myntra.com/tshirts/wrogn-active/wrogn-active-men-blue--grey-back-printed-round-neck-t-shirt/11551908/buy,WROGN ACTIVE,Men Blue &amp; Grey Back Printed Round Neck T-shirt,719,topwear,Men
22,https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-white-polo-collar-t-shirt/13177794/buy,Louis Philippe,Men White Polo Collar T-shirt,1139,topwear,Men
23,https://www.myntra.com/tshirts/us-polo-assn/u-s-polo-assn-men-navy-blue-polo-collar-slim-fit-t-shirt/19023072/buy,U.S. Polo Assn.,U S Polo Assn Men Navy Blue Polo Collar Slim Fit T-shirt,1119,topwear,Men
24,https://www.myntra.com/tshirts/roadster/roadster-men-black--charcoal-grey-striped-polo-t-shirt/2304112/buy,Roadster,Men Black &amp; Charcoal Grey Striped Polo T-shirt,467,topwear,Men
25,https://www.myntra.com/tshirts/roadster/roadster-women-black--red-printed-pure-cotton-t-shirt/1766423/buy,Roadster,Women Black  Red Printed Pure Cotton T-shirt,314,topwear,Women
26,https://www.myntra.com/tshirts/harvard/harvard-women-orange--teal-blue-pure-cotton-striped-round-neck-t-shirt/13240694/buy,Harvard,Women Orange &amp; Teal Blue Pure Cotton Striped Round Neck T-shirt,399,topwear,Women
27,https://www.myntra.com/tshirts/herenow/herenow-men-grey-printed-hyper-printed-boxy-tee/4318147/buy,HERE&amp;NOW,Men Grey Printed Hyper Printed Boxy Tee,319,topwear,Men
28,https://www.myntra.com/tshirts/juneberry/juneberry-women-multicoloured-dyed-t-shirt/13503044/buy,JUNEBERRY,Women Multicoloured Dyed T-shirt,549,topwear,Women
29,https://www.myntra.com/shirts/herenow/herenow-men-black--grey-striped-slim-fit-casual-shirt/15976044/buy,HERE&amp;NOW,Men Black &amp; Grey Striped Slim Fit Casual Shirt,739,topwear,Men
30,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-women-green-embellished-top/19600642/buy,CODE by Lifestyle,Women Green Embellished Top,999,topwear,Women
31,https://www.myntra.com/tshirts/kook-n-keech/kook-n-keech-men-white-printed-round-neck-pure-cotton-t-shirt/12956198/buy,Kook N Keech,Men White Printed Round Neck Pure Cotton T-shirt,519,topwear,Men
32,https://www.myntra.com/shirts/wrangler/wrangler-men-blue-classic-faded-casual-shirt/18126522/buy,Wrangler,Men Blue Classic Faded Casual Shirt,1439,topwear,Men
33,https://www.myntra.com/tshirts/damensch/damensch-men-lavender-striped-polo-collar-applique-t-shirt/19526672/buy,DAMENSCH,Men Lavender Striped Polo Collar Applique T-shirt,1790,topwear,Men
34,https://www.myntra.com/jackets/puma/puma-women-red-brand-logo-printed-hooded-jackets/19194974/buy,Puma,Women Red Brand Logo Printed Hooded Jackets,1924,topwear,Women
35,https://www.myntra.com/tshirts/roadster/roadster-men-teal-blue-printed-round-neck-t-shirt/11659940/buy,Roadster,Men Teal Blue Printed Round Neck T-shirt,314,topwear,Men
36,https://www.myntra.com/kurtas/anouk/anouk-women-green-pure-cotton-bandhani-print-kurta/18331418/buy,Anouk,Women Green Pure Cotton Bandhani Print Kurta,639,topwear,Women
37,https://www.myntra.com/tops/eavan/eavan-black-v-neck-wrap-top/7344910/buy,Eavan,Black V-Neck Wrap Top,719,topwear,N.A.
38,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-navy-blue--white-printed-polo-collar-t-shirt/10941054/buy,Roadster,The Lifestyle Co Men Navy Blue &amp; White Printed Polo Collar T-shirt,587,topwear,Men
39,https://www.myntra.com/kurtis/all-about-you/all-about-you-women-blue--white-striped-pure-cotton-kurti/17894620/buy,all about you,Women Blue &amp; White Striped Pure Cotton Kurti,599,topwear,Women
40,https://www.myntra.com/tops/fablestreet/fablestreet-white-top-with-boat-neck/11552708/buy,FableStreet,White Top With Boat Neck,1610,topwear,N.A.
41,https://www.myntra.com/jackets/highlander/highlander-men-white-solid-denim-jacket/10874696/buy,HIGHLANDER,Men White Solid Denim Jacket,1374,topwear,Men
42,https://www.myntra.com/tshirts/v-mart/v-mart-men-navy-blue-typography-printed-slim-fit-t-shirt/19608610/buy,V-Mart,Men Navy Blue Typography Printed Slim Fit T-shirt,399,topwear,Men
43,https://www.myntra.com/jackets/roadster/roadster-men-black-solid-lightweight-jacket/11966728/buy,Roadster,Men Black Solid Lightweight Jacket,899,topwear,Men
44,https://www.myntra.com/coats/dressberry/dressberry-women-pink-suede-finish-solid-longline-overcoat/11951116/buy,DressBerry,Women Pink Suede Finish Solid Longline Overcoat,2914,topwear,Women
45,https://www.myntra.com/tshirts/louis-philippe-jeans/louis-philippe-jeans-men-peach-coloured-solid-pure-cotton-slim-fit-casual-t-shirt/16878888/buy,Louis Philippe Jeans,Men Peach-Coloured Solid Pure Cotton Slim Fit Casual T-shirt,559,topwear,Men
46,https://www.myntra.com/tshirts/ether/ether-men-off-white-solid-round-neck-t-shirt/11752128/buy,ether,Men Off-White Solid Round Neck T-shirt,369,topwear,Men
47,https://www.myntra.com/kurtas/sangria/sangria-women-mauve--white-striped-sequin-detail-kurta/18188086/buy,Sangria,Women Mauve &amp; White Striped Sequin Detail Kurta,643,topwear,Women
48,https://www.myntra.com/kurtas/dennison/dennison-men-black-comfort-slim-fit-short-kurta/15297506/buy,DENNISON,Men Black Comfort Slim Fit Short Kurta,725,topwear,Men
49,https://www.myntra.com/tops/athena/athena-women-elegant-lavender-solid-puff-sleeves-top/17132236/buy,Athena,Women Elegant Lavender Solid Puff Sleeves Top,730,topwear,Women
50,https://www.myntra.com/tshirts/herenow/herenow-men-olive-green-solid-round-neck-pure-cotton-t-shirt/12337938/buy,HERE&amp;NOW,HERENOW Men Olive Green Solid Round Neck Pure Cotton T-shirt,328,topwear,Men
51,https://www.myntra.com/blazers/invictus/invictus-men-grey-woven-design-slim-fit-single-breasted-formal-blazer/17757690/buy,INVICTUS,Men Grey Woven Design Slim Fit Single-Breasted Formal Blazer,3849,topwear,Men
52,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-blue-beast-rapid-dry-typography-tshirts/17861240/buy,HRX by Hrithik Roshan,HRX By Hrithik Roshan Training Men BLUE BEAST Rapid-Dry Typography Tshirts,494,topwear,Men
53,https://www.myntra.com/shirts/turtle/turtle-men-blue-slim-fit-printed-semiformal-shirt/19094390/buy,Turtle,Men Blue Slim Fit Printed Semiformal Shirt,1799,topwear,Men
54,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-navy-blue-slim-fit-solid-casual-shirt/2444698/buy,Mast &amp; Harbour,Men Navy Blue Slim Fit Solid Casual Shirt,1099,topwear,Men
55,https://www.myntra.com/shirts/roadster/roadster-men-grey-regular-fit-solid-sustainable-casual-shirt/11326024/buy,Roadster,Men Grey Regular Fit Solid Sustainable Casual Shirt,935,topwear,Men
56,https://www.myntra.com/shirts/wrogn/wrogn-men-green-slim-fit-solid-casual-shirt/13673088/buy,WROGN,Men Green Slim Fit Solid Casual Shirt,1487,topwear,Men
57,https://www.myntra.com/shirts/arrow/arrow-men-purple-casual-shirt/19162702/buy,Arrow,Men Purple Casual Shirt,1499,topwear,Men
